Date;Time;Operation Mode;System Status;Flow [m3/h] W1-BF1;Flow [m³/h] W3-BF1 OR HW VFD Speed [Hz];Inlet Pressure [Bar];Outlet Pressure [Bar];Diff. Pressure [Bar];Uv Unit Temperature [C];Uv-I Sensor [W/m2];Total Lamp Pwr [kW];Calculated [m3];ByPass;Alarm;Flow Limit;Allowed Flow [m3];FullTime
02-01-2023;00:01:48;System Idle;system Idle;0;0;2,91;2,9;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:01:48
02-01-2023;00:06:49;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:06:49
02-01-2023;00:11:49;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:11:49
02-01-2023;00:16:50;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:16:50
02-01-2023;00:21:50;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:21:50
02-01-2023;00:26:51;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:26:51
02-01-2023;00:31:50;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:31:50
02-01-2023;00:36:51;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:36:51
02-01-2023;00:41:52;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:41:52
02-01-2023;00:46:53;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:46:53
02-01-2023;00:51:52;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:51:52
02-01-2023;00:56:53;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 00:56:53
02-01-2023;01:01:53;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:01:53
02-01-2023;01:06:54;System Idle;system Idle;0;0;2,92;2,91;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:06:54
02-01-2023;01:11:54;System Idle;system Idle;0;0;2,92;2,92;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:11:54
02-01-2023;01:16:55;System Idle;system Idle;0;0;2,92;2,92;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:16:55
02-01-2023;01:21:55;System Idle;system Idle;0;0;2,92;2,92;0;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:21:55
02-01-2023;01:26:56;System Idle;system Idle;0;0;2,93;2,92;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:26:56
02-01-2023;01:31:56;System Idle;system Idle;0;0;2,93;2,92;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:31:56
02-01-2023;01:36:57;System Idle;system Idle;0;0;2,93;2,92;0,01;26,1;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:36:57
02-01-2023;01:41:58;System Idle;system Idle;0;0;2,93;2,92;0,01;26;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:41:58
02-01-2023;01:46:58;System Idle;system Idle;0;0;2,93;2,92;0,01;26;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:46:58
02-01-2023;01:51:58;System Idle;system Idle;0;0;2,93;2,92;0,01;26;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:51:58
02-01-2023;01:56:59;System Idle;system Idle;0;0;2,92;2,92;0,01;26;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 01:56:59
02-01-2023;02:02:00;System Idle;system Idle;0;0;2,93;2,92;0,01;26;1;0;1434,2;System In Line;System Ok;500;35;02-01-2023 02:02:00
